127.0.0.1 - - [07/May/2016:11:35:03 +0530] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [07/May/2016:11:35:13 +0530] "GET /collegeserver/ HTTP/1.1" 200 5760
127.0.0.1 - - [07/May/2016:11:35:14 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:35:15 +0530] "GET /collegeserver/resources/m-lite-image/col.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2016:11:35:15 +0530] "GET /collegeserver/resources/m-lite-image/body.gif HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2016:11:35:15 +0530] "GET /collegeserver/resources/m-lite-image/cur.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/May/2016:11:35:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [07/May/2016:11:35:23 +0530] "GET /collegeserver/studentsmachine HTTP/1.1" 302 -
127.0.0.1 - - [07/May/2016:11:35:27 +0530] "GET /studentsmachine/collegeList HTTP/1.1" 200 12245
127.0.0.1 - - [07/May/2016:11:35:27 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:35:30 +0530] "GET /studentsmachine/colleges?tag=all&_=1462601127499 HTTP/1.1" 200 73269
127.0.0.1 - - [07/May/2016:11:35:48 +0530] "GET /collegeserver/collegemachine HTTP/1.1" 302 -
127.0.0.1 - - [07/May/2016:11:35:51 +0530] "GET /collegemachine/collegeList HTTP/1.1" 200 11699
127.0.0.1 - - [07/May/2016:11:35:51 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:35:53 +0530] "GET /collegemachine/colleges?tag=all&_=1462601151785 HTTP/1.1" 200 369
127.0.0.1 - - [07/May/2016:11:36:07 +0530] "GET /collegemachine/collegeCreate HTTP/1.1" 200 14740
127.0.0.1 - - [07/May/2016:11:36:07 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:36:16 +0530] "GET /collegemachine/collegeList HTTP/1.1" 200 11699
127.0.0.1 - - [07/May/2016:11:36:16 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:36:16 +0530] "GET /collegemachine/colleges?tag=all&_=1462601176663 HTTP/1.1" 200 369
127.0.0.1 - - [07/May/2016:11:36:32 +0530] "GET /collegemachine/colleges?tag=all&_=1462601192221 HTTP/1.1" 200 369
127.0.0.1 - - [07/May/2016:11:36:41 +0530] "GET /collegeserver/studentsmachine HTTP/1.1" 302 -
127.0.0.1 - - [07/May/2016:11:36:41 +0530] "GET /studentsmachine/collegeList HTTP/1.1" 200 12245
127.0.0.1 - - [07/May/2016:11:36:41 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:36:41 +0530] "GET /studentsmachine/colleges?tag=all&_=1462601201122 HTTP/1.1" 200 73269
127.0.0.1 - - [07/May/2016:11:37:04 +0530] "GET /collegeserver/studentsmachine HTTP/1.1" 302 -
127.0.0.1 - - [07/May/2016:11:37:04 +0530] "GET /studentsmachine/collegeList HTTP/1.1" 200 12245
127.0.0.1 - - [07/May/2016:11:37:04 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:37:05 +0530] "GET /studentsmachine/colleges?tag=all&_=1462601224688 HTTP/1.1" 200 73269
127.0.0.1 - - [07/May/2016:11:37:08 +0530] "GET /collegeserver/collegemachine HTTP/1.1" 302 -
127.0.0.1 - - [07/May/2016:11:37:08 +0530] "GET /collegemachine/collegeList HTTP/1.1" 200 11699
127.0.0.1 - - [07/May/2016:11:37:08 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:37:09 +0530] "GET /collegemachine/colleges?tag=all&_=1462601229017 HTTP/1.1" 200 369
127.0.0.1 - - [07/May/2016:11:38:26 +0530] "GET /collegemachine/collegeCreate HTTP/1.1" 200 14740
127.0.0.1 - - [07/May/2016:11:38:26 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:42:20 +0530] "POST /collegemachine/collegeSave HTTP/1.1" 302 -
127.0.0.1 - - [07/May/2016:11:42:20 +0530] "GET /collegemachine/collegeCreate HTTP/1.1" 200 14740
127.0.0.1 - - [07/May/2016:11:42:20 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:42:24 +0530] "GET /collegemachine/collegeList HTTP/1.1" 200 11699
127.0.0.1 - - [07/May/2016:11:42:24 +0530] "GET /resources/m-litecss/styles.css HTTP/1.1" 404 1054
127.0.0.1 - - [07/May/2016:11:42:24 +0530] "GET /collegemachine/colleges?tag=all&_=1462601544651 HTTP/1.1" 200 470
